ccode,leaderid,country,year,current_leader,leader_id,current_leader_start_month,current_leader_start_year,current_leader_end_month,current_leader_end_year,current_p_name,create,partyage,persparty,v2paseatshare,v2exl_legitideol,v2exl_legitlead,v2exl_legitperf,gwf_duration,lpop,gdppc,l12gr,oilgasrentsgdp,priormil,pres,ivdem,leadertimeinpower,dem1990,iv2xps_party,ipolarization,iv2juhcind,iv2x_libdem,iv2x_partipdem,iv2xpa_illiberal,iv2xpa_popul,iv2paclient,iv2paind,iv2parelig,iv2pariglef,iv2paseat,demcollapse
90,90-1-2000,Guatemala,2003,Alfonso Portillo,90-1-2000,1,2000,1,2004,Guatemalan Republican Front,0,12,.63375723,27.2,-.869,-1.36,.121,8,16.334442,.057016149,.69191021,.52056712,1,1,.55400002,3,.41299999,.449,-.80900002,.74900001,.30599999,.31900001,.79000002,.60100001,1.788,2.2980001,-2.332,1.041,55.799999,0
90,90-1-2004,Guatemala,2007,Óscar Berger,90-1-2004,1,2004,1,2008,Grand National Alliance,1,1,.89065653,23.4,-1.061,-1.972,.583,12,16.416496,.059779592,2.1955767,.57133746,1,1,.579,3,.41299999,.40000001,-.583,.74900001,.382,.34900001,.30599999,.168,2.23,.94599998,-.45500001,1.049,29.700001,0
90,90-1-2008,Guatemala,2011,Álvaro Colom,90-1-2008,1,2008,1,2012,National Unity of Hope,1,8,.70238376,,-.885,-1.482,.326,16,16.491142,.060736038,-.1917879,.4500654,1,1,.588,3,.41299999,.38699999,-.73900002,.74900001,.40599999,.35600001,.39300001,.73799998,2.0339999,1.943,.14,-.926,32.299999,0
90,90-1-2012,Guatemala,2015,Otto Fernando Pérez Molina,90-1-2012,1,2012,9,2015,Patriotic Party,1,11,.70238376,10.8,-1.088,-1.976,.326,20,16.56069,.063203141,2.2712772,.11886408,1,1,.58700001,3,.41299999,.38699999,-.73900002,.80800003,.40799999,.34999999,.76300001,.193,2.7679999,2.3239999,.19599999,2.4530001,35.400002,0
90,90-1-2016,Guatemala,2019,Jimmy Morales,90-1-2016,1,2016,1,2020,National Convergence Front,1,8,.81250143,5,-.3,-1.865,.847,24,16.625156,.065222964,1.5486779,.15012625,1,1,.63300002,3,.41299999,.38999999,-.616,1.748,.44499999,.361,.57300001,.178,2.24,-.039999999,-2.188,2.4630001,7,0
90,90-1-2020,Guatemala,2020,Alejandro Giammattei,90-1-2020,1,2020,99,9999,Vamos,1,3,.81250143,10.6,.249,-1.48,.338,25,16.640356,.064235553,1.9702094,,1,1,.58600003,0,.41299999,.34,-.414,1.819,.41499999,.352,.75700003,.161,1.4119999,2.2980001,-2.0109999,2.4630001,10.6,0
91,91-1-1990,Honduras,1993,Rafael Callejas,91-1-1990,1,1990,1,1994,National Party of Honduras,0,88,.29547179,43,-.532,-1.817,-.279,12,15.500875,.041764293,-1.4586436,0,1,1,.50400001,2,.498,.56800002,-2.5190001,-.67799997,.264,.26100001,.625,.106,1.88,-.44,-1.3789999,1.898,55.5,0
91,91-1-1994,Honduras,1997,Carlos Reina,91-1-1994,1,1994,1,1998,Liberal Party of Honduras,0,103,.3042722,54.1,-1.503,-1.817,-.279,16,15.614859,.042008836,1.1040932,0,1,1,.53500003,3,.498,.56800002,-2.5190001,-.70499998,.27200001,.26699999,.28099999,.29800001,1.747,-.63999999,-.59399998,.83999997,55.5,0
91,91-1-1998,Honduras,2001,Carlos Flores,91-1-1998,1,1998,1,2002,Liberal Party of Honduras,0,107,.21162806,43,-1.928,-1.145,-.279,20,15.725336,.042317815,.45934543,0,1,1,.56099999,3,.498,.59799999,-2.5190001,-.70499998,.31200001,.30899999,.359,.22499999,2.309,-.377,-.59399998,1.066,54.099998,0
91,91-1-2002,Honduras,2005,Ricardo Maduro,91-1-2002,1,2002,1,2006,National Party of Honduras,0,100,.37745908,43,-1.928,-2.044,-.279,24,15.824929,.044508271,2.7990606,0,1,1,.56400001,3,.498,.57800001,-2.5190001,.266,.333,.333,.493,.108,2.526,-.396,-1.3789999,1.604,47.700001,0
91,91-1-2006,Honduras,2009,Manuel Zelaya,91-1-2006,1,2006,1,2009,Liberal Party of Honduras,0,115,.26644966,35.2,-.476,-.315,1.036,28,15.913624,.045675721,2.8993137,0,1,1,.56599998,3,.498,.59399998,-2.5190001,.266,.33700001,.33500001,.391,.30700001,2.309,-.68400002,-.58399999,.81,48.400002,0
91,91-1-2010,Honduras,2013,Porfirio Lobo,91-1-2010,1,2010,1,2014,National Party of Honduras,0,108,.26405263,37.5,-.888,-2.192,1.445,32,15.990094,.04720325,2.0188663,0,1,1,.47400001,3,.498,.58999997,-.064000003,1.17,.29699999,.285,.74800003,.15700001,2.8,.384,-2.0869999,1.604,55.5,0
91,91-1-2014,Honduras,2020,Juan Orlando Hernández,91-1-2014,1,2014,99,9999,National Party of Honduras,0,112,.3042722,47.7,-.6840000000000001,-1.599,1.69,39,16.108511,.047318157,1.5554127,,1,1,.44999999,6,.498,.56699997,.068000004,-.07,.25999999,.264,.79400003,.061000001,2.8,1.334,-2.0869999,2.1340001,37.5,0
92,92-6-1994,El Salvador,1999,Armando Calderón Sol,92-6-1994,6,1994,6,1999,National Republican Alliance,1,13,.65136349,33.3,.856,-.927,-.209,5,15.581069,.054483984,1.9337621,0,1,1,.486,4,.465,.89700001,1.0420001,-.477,.259,.27700001,.78500003,.148,.838,-1.473,-2.0220001,2.5220001,46.400002,0
92,92-6-2999,El Salvador,2004,Francisco Flores,92-6-2999,6,1999,6,2004,National Republican Alliance,0,18,.53547341,32.1,.856,-2.04,-.209,10,15.611229,.055302624,.99927807,0,1,1,.528,4,.465,.89399999,1.0420001,-.477,.30399999,.31099999,.56,.086999997,.86900002,.43700001,-2.0220001,2.5220001,34.5,0
92,92-6-2004,El Salvador,2009,Antonio Saca,92-6-2004,6,2004,6,2009,National Republican Alliance,0,23,.69632649,38.1,-.271,-2.04,-.209,15,15.63321,.05727198,1.5567074,0,1,1,.542,4,.465,.89499998,.926,.0049999999,.338,.331,.51899999,.086999997,.86900002,.73400003,-2.0220001,1.931,32.099998,0
92,92-6-2009,El Salvador,2014,Maurico Funes,92-6-2009,6,2009,6,2014,Farabundo Marti National Liberation Front,0,29,.69632649,36.9,-.502,-2.04,-.209,20,15.655286,.060299784,2.0687165,0,1,1,.62,4,.465,.88200003,.926,1.012,.40099999,.37,.25600001,.90700001,-1.677,-.773,.175,-1.919,41.700001,0
92,92-6-2014,El Salvador,2019,Sánchez Cerén,92-6-2014,6,2014,6,2019,Farabundo Marti National Liberation Front,0,34,.54492342,21.4,-.82,-.357,-.607,25,15.68014,.063266531,1.8233238,0,1,1,.68400002,4,.465,.87699997,.84799999,1.374,.48500001,.42500001,.25600001,.72000003,.88599998,-.773,.17900001,-1.2970001,36.900002,0
92,92-6-2019,El Salvador,2020,Nayib Bukele,92-6-2019,6,2019,99,9999,Grand Alliance for National Unity Party,0,10,.69632649,11.9,-.82,-.357,.597,26,15.685187,.060548618,1.8870096,,1,1,.64399999,0,.465,.86299998,.77999997,.78399998,.45100001,.384,.32600001,.34400001,1.374,1.256,-1.998,.98000002,11.9,0
93,93-4-1990,Nicaragua,1996,Violeta Chamorro,93-4-1990,4,1990,1,1997,National Oppostion Union Party,0,8,.69632649,55.4,.848,.514,1.023,6,15.371879,.035857905,2.4703763,0,0,1,.69700003,5,.62699997,.676,.662,-.91900003,.40200001,.37799999,.252,.54900002,-.75999999,-.91299999,-2.6530001,1.451,55.400002,0
93,93-1-1997,Nicaragua,2001,Arnoldo Alemán,93-1-1997,1,1997,1,2002,Constitutionalist Liberal Party,0,29,.58702099,53.3,.6860000000000001,-1.056,1.023,11,15.453608,.038284972,3.9030247,0,0,1,.69099998,4,.62699997,.68000001,.662,-.91900003,.465,.43599999,,,,,,,,0
93,93-1-2002,Nicaragua,2006,Enrique Bolaños,93-1-2002,1,2002,1,2007,Constitutionalist Liberal Party,0,34,.63375723,27.2,.6860000000000001,-1.056,1.023,16,15.522757,.04020026,3.3754523,0,0,1,.63,4,.62699997,.64099997,-.227,-.95599997,.38800001,.37400001,.79900002,.384,.505,1.2309999,-1.8,2.0109999,53.299999,0
93,93-1-2007,Nicaragua,2016,Danial Ortega,93-1-2007,1,2007,99,9999,Sandinista National Liberation Front,0,45,.63375723,76.09999999999999,1.319,-.388,1.848,26,15.656691,.045999151,3.426543,0,0,1,.60500002,9,.62699997,.66500002,.66000003,-1.888,.35600001,.36399999,.80900002,.72100002,.91000003,1.0140001,-1.4630001,-.85000002,41.299999,1
94,94-5-1990,Costa Rica,1994,Calderón Fournier,94-5-1990,5,1990,5,1994,Social Christian Unity Party,0,7,.53547341,43.1,-1.503,-2.594,1.617,45,15.05644,.082529455,5.3842874,0,0,1,.89700001,3,.89499998,.53899997,-1.141,1.73,.84100002,.62599999,.417,.53399998,.79900002,1.837,-.88999999,1.52,50.900002,0
94,94-5-1994,Costa Rica,1998,Figueres Olsen,94-5-1994,5,1994,5,1998,National Liberation Party,0,43,.5896256,40.4,-1.503,-2.594,1.617,49,15.151536,.085959554,.97390759,0,0,1,.898,3,.89499998,.53899997,-1.141,1.73,.84799999,.63099998,.36899999,.38100001,-.616,-.125,.722,.954,48.299999,0
94,94-5-1998,Costa Rica,2002,Miguel Ángel Rodríguez,94-5-1998,5,1998,5,2002,Social Christian Unity Party,0,15,.54492342,33.3,-1.503,-2.594,1.441,53,15.226723,.089109093,1.7517171,0,0,1,.89700001,3,.89499998,.60100001,-1.141,1.73,.84799999,.63599998,.48500001,.52999997,.089000002,1.512,.02,1.533,47.400002,0
94,94-5-2002,Costa Rica,2006,Abel Pacheco,94-5-2002,5,2002,5,2006,Social Christian Unity Party,0,19,.54492342,8.800000000000001,-1.503,-2.594,1.441,57,15.284634,.09544386,2.7134595,0,0,1,.90399998,3,.89499998,.66399997,-1.553,1.73,.85299999,.65600002,.396,.46200001,.089000002,1.188,.02,1.533,33.299999,0
94,94-5-2006,Costa Rica,2010,Óscar Arias,94-5-2006,5,2006,5,2010,National Liberation Party,0,55,.26644966,42.1,-1.503,-2.766,1.441,61,15.336636,.10117796,.61429644,0,0,1,.90899998,3,.89499998,.66399997,-1.553,1.5599999,.85500002,.65899998,.34999999,.32100001,-.616,.082999997,.722,1.392,43.900002,0
94,94-5-2010,Costa Rica,2014,Laura Chinchilla,94-5-2010,5,2010,4,2014,National Liberation Party,0,59,.26644966,31.6,-1.05,-2.766,1.441,65,15.383165,.10656139,2.4896243,0,0,1,.912,3,.89499998,.66399997,-1.553,1.766,.86000001,.70099998,.234,.32100001,-.616,-.116,.722,.30700001,42.099998,0
94,94-5-2014,Costa Rica,2018,Luis Guillermo Solís,94-5-2014,5,2014,4,2018,Citizens' Action party,0,14,.69632649,17.5,-1.05,-2.766,1.441,69,15.424837,.11182743,3.1004364,0,0,1,.90899998,3,.89499998,.70700002,-1.553,1.766,.85799998,.69,.149,.60100001,-.79299998,.079999998,.722,-.001,22.799999,0
94,94-5-2018,Costa Rica,2020,Carlos Alvarado,94-5-2018,5,2018,99,9999,Citizens' Action party,0,18,.5896256,17.5,-1.05,-2.766,1.441,71,15.443596,.10940646,1.4408269,,0,1,.89899999,1,.89499998,.61000001,-.88300002,1.641,.83899999,.66500002,.12800001,.60100001,-.79299998,.079999998,.722,-.001,17.5,0
95,95-12-1989,Panama,1994,Guillermo Endara,95-12-1989,12,1989,9,1994,Panameñista Party,0,57,.29547179,18.9,-2.342,-2.091,.389,5,14.802862,.077966347,4.643599,0,1,1,.69700003,3,.31,.602,-.54299998,1.272,.28,.227,.63,.509,.271,-.69199997,.736,2.1289999,9,0
95,95-9-1994,Panama,1999,Ernesto Pérez Balladares,95-9-1994,9,1994,9,1999,Democratic Revolutionary Party,1,16,.69063359,47.9,-2.342,-1.26,.5570000000000001,10,14.904475,.083103411,4.7501545,0,1,1,.72500002,4,.31,.602,-.75099999,.35699999,.54299998,.47400001,.43099999,.45500001,.70099998,-.69199997,.89200002,-.88700002,40.5,0
95,95-9-1999,Panama,2004,Mireya Moscoso,95-9-1999,9,1999,9,2004,Panameñista Party,0,67,.37745908,21.8,-2.342,-1.814,.598,15,15.000104,.086177938,1.278789,0,1,1,.75800002,4,.31,.602,-.64300001,.35699999,.53899997,.47,.37599999,.317,.72399998,.98299998,-.164,2.1289999,25.4,0
95,95-9-2004,Panama,2009,Martín Torrijos,95-9-2004,9,2004,7,2009,Democratic Revolutionary Party,0,26,.53547341,31,-2.342,-1.601,.598,20,15.090654,.099198364,8.9378395,0,1,1,.76599997,4,.31,.66399997,-.76499999,.35699999,.583,.49900001,.634,.44800001,1.046,-.85500002,.89200002,-.88700002,52.599998,0
95,95-7-2009,Panama,2014,Ricardo Martinelli,95-7-2009,7,2009,7,2014,Democratic Change Party,1,11,.59488547,42.3,-2.342,-1.601,.598,25,15.176824,.11451307,6.5039725,0,1,1,.77100003,4,.31,.67299998,-.66100001,.35699999,.579,.50400001,.65499997,.84100002,2.0580001,.86299998,.92400002,1.149,16.9,0
95,95-7-2014,Panama,2019,Juan Carlos Varela,95-7-2014,7,2014,7,2019,Panameñista Party,0,82,.37745908,11.3,-2.342,-1.784,.598,30,15.261592,.12275612,2.8722835,0,1,1,.78200001,4,.31,.64600003,-.66100001,-.057,.56599998,.498,.64200002,.54900002,1.034,.86000001,-.61299998,2.1289999,16.9,0
95,95-7-2019,Panama,2020,Laurentino Cortizo,95-7-2019,7,2019,99,9999,Democratic Revolutionary Party,0,41,.53547341,49.3,-.957,-2.508,.443,31,15.277555,.11031079,1.6188198,,1,1,.764,0,.31,.671,-.74400002,.12,.56300002,.47499999,.48899999,.435,2.0510001,-.48300001,.94199997,-.49000001,49.299999,0
100,100-8-1990,Colombia,1994,Cesar Gaviria,100-8-1990,8,1990,8,1994,Liberal Party,0,141,.1619093,55.3,.034,-2.37,1.885,36,17.392311,.063146517,2.7071915,1.1065562,1,1,.50300002,3,.47400001,.32300001,.052000001,1.6900001,.317,.29100001,.405,.514,1.117,-.94,-.45300001,.22,54,0
100,100-8-1994,Colombia,1998,Ernesto Samper Pizano,100-8-1994,8,1994,8,1998,Liberal Party,0,145,.21162806,52.2,.034,-2.37,1.885,40,17.462639,.064426981,.9541378,1.0468645,1,1,.56599998,3,.47400001,.278,-.72100002,2.7019999,.43399999,.38499999,.53399998,.55900002,1.117,-1.119,-.148,-.74000001,55.299999,0
100,100-8-1998,Colombia,2002,Andres Pastrana,100-8-1998,8,1998,8,2002,Conservative Party,0,149,.58702099,12.7,1.568,.228,2.534,44,17.526037,.063272946,.69207364,1.5063986,1,1,.55299997,3,.47400001,.243,.57499999,2.7019999,.43000001,.37200001,.75800002,.33500001,.88300002,-.903,-2.2130001,2.299,17.4,0
100,100-8-2002,Colombia,2010,Alvaro Uribe,100-8-2002,8,2002,8,2010,PSUN (Colombia First coalition),0,153,.69632649,22.9,-.057,-.242,1.87,52,17.62711,.071851969,1.0482486,1.7141386,1,1,.537,7,.47400001,.248,.65399998,2.7019999,.412,.35299999,.74400002,.29899999,.88300002,-1.263,-1.918,2.6010001,12.7,0
100,100-8-2010,Colombia,2018,Juan Manuel Santos,100-8-2010,8,2010,8,2018,PSUN,1,5,.69063359,15.5,.206,-2.005,2.341,60,17.720732,.079195164,.26863965,1.6187506,1,1,.65399998,7,.47400001,.56800002,1.082,2.7019999,.48899999,.414,.56699997,.38600001,.89499998,.52600002,-.77499998,.13600001,28.299999,0
100,100-8-2018,Colombia,2020,Ivan Duque,100-8-2018,8,2018,99,9999,Democratic Centre,0,4,.59990168,19.9,1.411,-1.897,1.899,62,17.745037,.076741263,1.4510653,,1,1,.64899999,1,.47400001,.537,1.115,2.0109999,.50999999,.454,.80199999,.36000001,.54400003,.94800001,-1.906,2.655,19.9,0
130,130-8-1988,Ecuador,1992,Rodrigo Borja Cevallos,130-8-1988,8,1988,8,1992,Democratic Left,1,18,.70238376,10.4,-1.566,-.964,-.642,13,16.187262,.06588839,1.5715835,2.0894113,1,1,.73500001,1,.73400003,.40799999,.108,.463,.484,.486,.050000001,.384,-.83600003,-.62900001,.67000002,-.90399998,19.4,0
130,130-8-1992,Ecuador,1996,Sixto Duran-Ballen,130-8-1992,8,1992,8,1996,Republican Unity Party,1,1,.89065653,3.9,-1.566,-.074,-.642,17,16.27537,.066304006,1.0054139,2.2010326,1,1,.73199999,3,.73400003,.40799999,.108,.463,.48300001,.47999999,.154,.20299999,-1.012,1.632,-1.339,1.812,15.6,0
130,130-8-1996,Ecuador,1997,Abdala Jaime Bucaram Ortiz,130-8-1996,8,1996,2,1997,Ecuadorian Roldosist Party,1,14,.75461107,10,-1.566,-1.412,-.642,18,16.296364,.067016423,-.188903,1.9522043,1,1,.72399998,0,.73400003,.40799999,.285,-.551,.46200001,.48100001,.93099999,.88800001,1.967,2.891,-1.711,.243,10,0
130,130-2-1997,Ecuador,1998,Fabrio Ernesto Alarcon Rivera,130-2-1997,2,1997,8,1998,Alfarista Radical Front,0,25,.40881962,,-1.566,-1.175,-.642,19,16.31682,.067409195,.86838162,1.3932133,1,1,.72100002,0,.73400003,.40799999,.285,.46000001,.47099999,.47999999,,,,,,,,0
130,130-8-1998,Ecuador,1999,Jamil Mahuad,130-8-1998,8,1998,1,2000,Popular Democracy,0,17,.42101812,26.4,-1.566,-1.175,-.642,20,16.336597,.065145008,1.6680456,2.1516013,1,1,.71899998,0,.73400003,.40799999,.285,.46000001,.479,.49700001,.068999998,.28,-1.5650001,-.048999999,-.86699998,.38499999,26.4,0
130,130-1-2000,Ecuador,2002,Gustavo Noboa,130-1-2000,1,2000,1,2003,Popular Democracy,0,19,.63375723,26.4,-1.566,-1.806,-.121,23,16.391436,.066313066,.66056365,2.1901236,1,1,.71899998,2,.73400003,.40799999,.285,.46000001,.477,.495,.068999998,.28,-1.5650001,-.048999999,-.86699998,.38499999,26.4,0
130,130-1-2003,Ecuador,2005,Lucio Gutierrez,130-1-2003,1,2003,4,2005,Patriotic Society Party,1,1,.81250143,6,-1.396,-2.078,-.121,26,16.442049,.069947779,3.6957428,2.9179609,1,1,.72600001,2,.73400003,.40799999,.46900001,-.54500002,.46900001,.498,.84299999,.73699999,.206,1.7970001,-.34099999,-.435,6,0
